path_id,plan_key,event_order,month_index,date,stage,event,amount,balance,floor,attempt,note,strategy_path_id,prefix_application_basis
29,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,29,ACCOUNT_STATE_BEFORE_PREFIX
29,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,29,ACCOUNT_STATE_BEFORE_PREFIX
29,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,29,ACCOUNT_STATE_BEFORE_PREFIX
29,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,29,ACCOUNT_STATE_BEFORE_PREFIX
30,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,49770.0,49700.0,1,Drawdown breached,30,ACCOUNT_STATE_BEFORE_PREFIX
30,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49770.0,49700.0,1,capital budget exhausted or rebuys disabled,30,ACCOUNT_STATE_BEFORE_PREFIX
30,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,30,ACCOUNT_STATE_BEFORE_PREFIX
30,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,30,ACCOUNT_STATE_BEFORE_PREFIX
31,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,31,ACCOUNT_STATE_BEFORE_PREFIX
31,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,31,ACCOUNT_STATE_BEFORE_PREFIX
31,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,31,ACCOUNT_STATE_BEFORE_PREFIX
31,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,31,ACCOUNT_STATE_BEFORE_PREFIX
32,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-04,funded,funded_failed,0.0,50225.67411896348,49700.0,1,Drawdown breached,32,ACCOUNT_STATE_BEFORE_PREFIX
32,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50225.67411896348,49700.0,1,capital budget exhausted or rebuys disabled,32,ACCOUNT_STATE_BEFORE_PREFIX
32,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-15,funded,funded_failed,0.0,50055.0,49950.0,1,Drawdown breached,32,ACCOUNT_STATE_BEFORE_PREFIX
32,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50055.0,49950.0,1,capital budget exhausted or rebuys disabled,32,ACCOUNT_STATE_BEFORE_PREFIX
33,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,49806.0,49700.0,1,Drawdown breached,33,ACCOUNT_STATE_BEFORE_PREFIX
33,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49806.0,49700.0,1,capital budget exhausted or rebuys disabled,33,ACCOUNT_STATE_BEFORE_PREFIX
33,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,33,ACCOUNT_STATE_BEFORE_PREFIX
33,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,33,ACCOUNT_STATE_BEFORE_PREFIX
34,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,34,ACCOUNT_STATE_BEFORE_PREFIX
34,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,34,ACCOUNT_STATE_BEFORE_PREFIX
34,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,34,ACCOUNT_STATE_BEFORE_PREFIX
34,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,34,ACCOUNT_STATE_BEFORE_PREFIX
35,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,49878.0,49700.0,1,Drawdown breached,35,ACCOUNT_STATE_BEFORE_PREFIX
35,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49878.0,49700.0,1,capital budget exhausted or rebuys disabled,35,ACCOUNT_STATE_BEFORE_PREFIX
35,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-11,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,35,ACCOUNT_STATE_BEFORE_PREFIX
